,sigma,y,z,shearstress,V.Mises
193,468616018.97223604,0.08125757575757575,0.0,114878303.41950886,509109071.8372845
194,473654900.8966687,0.08213131313131312,0.0,114307224.21993965,513368668.37589115
195,478693782.8211013,0.0830050505050505,0.0,113729883.82808459,517640026.5997835
196,483732664.745534,0.08387878787878787,0.0,113146282.24394366,521922920.07411754
197,488771546.6699666,0.08475252525252525,0.0,112556419.46751682,526217129.63775146
198,493810428.5943993,0.08562626262626262,0.0,111960295.49880414,530522443.1568592
199,498849310.5188319,0.0865,0.0,111357910.33780558,534838655.2872953
200,498849310.5188319,0.0865,-0.0,508714498.7643824,1012532448.0550756
201,483353820.37115645,0.08562626262626262,-0.004015151515151515,505856245.3490236,1000651057.3337876
202,467858330.223481,0.08475252525252525,-0.00803030303030303,502976872.200927,988862285.1876731
203,452362840.0758056,0.08387878787878787,-0.012045454545454543,500076379.3200925,977170043.8220197
204,436867349.9281301,0.0830050505050505,-0.01606060606060606,497154766.7065202,965578410.9073021
205,421371859.7804547,0.08213131313131312,-0.020075757575757573,494212034.36021024,954091635.5016494
206,405876369.63277924,0.08125757575757575,-0.024090909090909086,491248182.2811623,942714143.9534694
207,390380879.4851037,0.08038383838383838,-0.028106060606060603,488263210.4693767,931450545.7409704
208,374885389.33742833,0.079510101010101,-0.03212121212121212,459737803.9153984,880122491.5803113
209,359389899.1897529,0.07863636363636363,-0.03613636363636363,456710592.63813716,868858329.0291095
210,343894409.0420774,0.07776262626262626,-0.040151515151515146,453662261.62813807,857724727.0815219
211,328398918.894402,0.07688888888888888,-0.04416666666666666,450592810.8854012,846727520.277824
212,312903428.7467265,0.07601515151515151,-0.04818181818181817,447502240.4099265,835872790.1045521
213,297407938.5990511,0.07514141414141413,-0.052196969696969686,444390550.201714,825166871.164544
214,281912448.4513756,0.07426767676767676,-0.056212121212121206,441257740.26076365,814616356.7053857
215,266416958.3037002,0.07339393939393939,-0.06022727272727272,438103810.58707553,804228103.3541069
216,250921468.1560248,0.07252020202020201,-0.06424242424242424,434928761.18064964,794009234.8883474
217,235425978.00834933,0.07164646464646464,-0.06825757575757575,431732592.0414859,783967144.8560635
218,219930487.86067387,0.07077272727272726,-0.07227272727272727,428515303.1695844,774109497.8374807
219,204434997.7129984,0.06989898989898989,-0.07628787878787878,425276894.56494504,764444229.1248746
220,188939507.56532297,0.06902525252525252,-0.08030303030303029,422017366.227568,754979542.5784638
221,173444017.4176475,0.06815151515151514,-0.0843181818181818,418736718.157453,745723906.400885
222,157948527.2699721,0.06727777777777777,-0.08833333333333332,415434950.3546002,736686046.5592792
223,142453037.12229672,0.06640404040404041,-0.09234848484848483,412112062.81900966,727874937.5738833
